id,chapter,verse,reference,sanskrit,hindi,english
1,2,1,Bhagavad Gita 2.1,"सञ्जय उवाच | तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् | विषीदन्तमिदं वाक्यमुवाच मधुसूदनः |","संजय बताते हैं कि अर्जुन करुणा, शोक और भ्रम से पूरी तरह घिर चुका था। यही वह मानसिक अवस्था है जिसमें श्रीकृष्ण उसे आत्मज्ञान और कर्तव्य का उपदेश देना आरम्भ करते हैं।","Sanjaya describes Arjuna as overwhelmed by compassion, grief, and confusion. This sets the stage for Krishna’s teaching on the self, duty, and right action."
2,2,2,Bhagavad Gita 2.2,"श्रीभगवानुवाच | कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् | अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन |","श्रीकृष्ण अर्जुन से पूछते हैं कि निर्णायक क्षण में यह दुर्बलता और मोह उसमें कैसे आ गया। संदेश है कि संकट के समय विवेक, साहस और धर्मसम्मत दृष्टि बनाए रखनी चाहिए।","Krishna challenges Arjuna’s collapse at a decisive moment. The verse emphasizes maintaining clarity, courage, and a dharmic perspective when circumstances are difficult."
3,2,3,Bhagavad Gita 2.3,"क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते | क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप |","कृष्ण अर्जुन को हृदय की दुर्बलता छोड़कर उठ खड़े होने को कहते हैं। इसका आशय है कि भय और निराशा को अपने कर्तव्य पर हावी नहीं होने देना चाहिए।","Krishna urges Arjuna to cast off weakness and rise. The teaching is to avoid letting fear or despair overpower one’s responsibility."
4,2,7,Bhagavad Gita 2.7,"कार्पण्यदोषोपहतस्वभावः पृच्छामि त्वां धर्मसम्मूढचेताः | यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् |","अर्जुन स्वयं को श्रीकृष्ण के चरणों में समर्पित करते हुए मार्गदर्शन मांगता है। संदेश है कि जब निर्णय लेने में भ्रम हो, तो योग्य मार्गदर्शक की शरण लेनी चाहिए।","Arjuna surrenders to Krishna as a disciple seeking true guidance. The verse highlights humility and the willingness to learn when confused."
5,2,11,Bhagavad Gita 2.11,"श्रीभगवानुवाच | अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे | गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः |","कृष्ण कहते हैं कि ज्ञानी पुरुष जीवन और मृत्यु दोनों के सत्य को समझते हैं, इसलिए वे शोक नहीं करते। संदेश है कि परिपक्व दृष्टि नश्वर वस्तुओं पर अति-व्याकुलता से बचाती है।","Krishna teaches that wise people do not grieve for what is transient. Deep understanding brings balance beyond temporary loss."
6,2,12,Bhagavad Gita 2.12,"न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः | न चैव न भविष्यामः सर्वे वयमतः परम् |","श्रीकृष्ण आत्मा की नित्य चेतना के बारे में बताते हैं। अस्तित्व केवल शरीर तक सीमित नहीं है, वह निरंतर है।","Krishna explains the continuity of individual consciousness across time. Life transcends the physical body."
7,2,13,Bhagavad Gita 2.13,"देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा | तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति |","जैसे शरीर बाल्य, युवा और वृद्धावस्था से गुजरता है, वैसे ही आत्मा दूसरा शरीर प्राप्त करती है। धैर्यवान व्यक्ति इस बदलाव से विचलित नहीं होते।","Just as the body passes through childhood, youth, and old age, the soul moves to another body. A steady mind accepts life’s transitions."
8,2,14,Bhagavad Gita 2.14,"मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः | आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत |","सुख और दुख इंद्रियों और विषयों के अस्थायी संपर्क से उत्पन्न होते हैं। इन्हें सहन करना और इनमें स्थिर रहना सीखना चाहिए।","Sensory experiences like pleasure and pain are temporary. The verse encourages resilience and inner equilibrium."
9,2,20,Bhagavad Gita 2.20,"न जायते म्रियते वा कदाचिन्नायं भूत्वा भविता वा न भूयः | अजो नित्यः शाश्वतोऽयं पुराणो न हन्यते हन्यमाने शरीरे |","आत्मा न कभी जन्म लेती है और न कभी मरती है। यह नित्य, शाश्वत और पुरातन है। शरीर नष्ट होने पर भी आत्मा नष्ट नहीं होती।","The soul is unborn, eternal, and indestructible. Physical death does not affect the core essence of life."
10,2,22,Bhagavad Gita 2.22,"वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि | तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही |","जैसे मनुष्य पुराने वस्त्र छोड़कर नए वस्त्र पहनता है, वैसे ही आत्मा पुराने शरीर को छोड़कर नया शरीर धारण करती है।","Just as a person changes old clothes for new ones, the soul transitions from an old body to a new one."
11,2,23,Bhagavad Gita 2.23,"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः | न चैनं क्लेदयन्त्यापो न शोषयति मारुतः |","आत्मा को न शस्त्र काट सकते हैं, न अग्नि जला सकती है, न जल भिगो सकता है और न वायु सुखा सकती है।","The soul cannot be cut by weapons, burned by fire, dissolved by water, or dried by wind."
